01-27 00:32:00.840 23870 23870 F DISP    : Q BUFFER 0
01-27 00:32:01.840 23870 23870 F DISP    : Q BUFFER 1
01-27 00:32:01.900 23870 23870 F DISP    : DQ BUFFER 2
01-27 00:32:01.910 23870 23870 F DISP    : DRAW BUFFER 2
01-27 00:32:01.990 23870 23870 F DISP    : Q BUFFER 2
01-27 00:32:02.000 23870 23870 F DISP    : TE
01-27 00:32:02.010 23870 23870 F DISP    : FRAME START
01-27 00:32:02.100 23870 23870 F DISP    : TE
01-27 00:32:02.101 23870 23870 F DISP    : FRAME DONE
01-27 00:32:02.200 23870 23870 F DISP    : TE
01-27 00:32:02.210 23870 23870 F DISP    : MODE 60 90
01-27 00:32:02.300 23870 23870 F DISP    : TE
01-27 00:32:02.400 23870 23870 F DISP    : TE
01-27 00:32:02.710 23870 23870 F DISP    : DQ BUFFER 3
01-27 00:32:02.730 23870 23870 F DISP    : DRAW BUFFER 3
01-27 00:32:02.815 23870 23870 F DISP    : Q BUFFER 3
01-27 00:32:02.900 23870 23870 F DISP    : TE
01-27 00:32:02.910 23870 23870 F DISP    : FRAME START
01-27 00:32:03.300 23870 23870 F DISP    : TE
01-27 00:32:03.301 23870 23870 F DISP    : FRAME DONE
01-27 00:32:03.400 23870 23870 F DISP    : TE
01-27 00:32:03.410 23870 23873 F DISP    : DUMP CMDS
01-27 00:32:03.420 23870 23873 F DISP    : REG 00 00 00 00
01-27 00:32:03.500 23870 23870 F DISP    : TE
01-27 00:32:03.620 23870 23870 F DISP    : TE
01-27 00:32:03.630 23870 23873 F DISP    : REG 01 02 03 04
01-27 00:32:03.700 23870 23870 F DISP    : TE
01-27 00:32:03.710 23870 23873 F DISP    : DUMP CMDS END
01-27 00:32:03.710 23870 23870 F DISP    : FRAME START
01-27 00:32:03.800 23870 23870 F DISP    : TE
01-27 00:32:03.900 23870 23870 F DISP    : TE
01-27 00:32:03.901 23870 23870 F DISP    : FRAME DONE
01-27 00:32:05.210 23870 23870 F DISP    : MODE 90 120
